SZ 35  (606,1260)  (584,1280)  (584,1259)  (627,1281)  (606,1240)  (628,1240)  (628,1260)  (582,1239)  (605,1301)  (583,1301)  (562,1280)  (562,1259)  (649,1281)  (649,1302)  (627,1302)  (561,1302)  (604,1219)  (626,1219)  (648,1219)  (650,1240)  (650,1260)  (560,1239)  (560,1218)  (582,1218)  (670,1205)  (605,1322)  (583,1322)  (540,1281)  (540,1260)  (671,1281)  (671,1302)  (671,1323)  (649,1323)  (627,1323)  (561,1323)  (539,1323)  (539,1302)  (672,1226)  (672,1247)  (538,1240)  (538,1219)  (692,1205)  (518,1281)  (518,1260)  (693,1268)  (693,1288)  (693,1309)  (693,1330)  (517,1336)  (517,1315)  (694,1226)  (694,1247)  (516,1240)  (516,1219)  (714,1205)  (496,1294)  (496,1273)  (715,1268)  (715,1288)  (715,1309)  (715,1330)  (495,1336)  (495,1315)  (716,1226)  (716,1247)  (494,1252)  (494,1231)  (494,1210)  (736,1205)  (474,1294)  (474,1273)  (737,1268)  (737,1288)  (737,1309)  (737,1330)  (473,1336)  (473,1315)  (738,1226)  (738,1247)  (472,1252)  (472,1231)  (472,1210)  | overflowToLeft=false
SZ 31  (646,1044)  (624,1064)  (624,1044)  (667,1065)  (646,1024)  (668,1024)  (668,1044)  (622,1023)  (645,1085)  (623,1085)  (602,1064)  (602,1044)  (689,1065)  (689,1086)  (667,1086)  (601,1086)  (644,1003)  (666,1003)  (688,1003)  (690,1024)  (690,1044)  (600,1023)  (600,1002)  (622,1002)  (710,984)  (645,1106)  (623,1106)  (580,1065)  (580,1044)  (711,1065)  (711,1086)  (711,1107)  (689,1107)  (667,1107)  (601,1107)  (579,1107)  (579,1086)  (644,982)  (666,982)  (688,982)  (712,1005)  (712,1025)  (578,1024)  (578,1003)  (578,982)  (600,981)  (622,981)  (710,963)  (732,963)  (732,984)  (645,1127)  (623,1127)  (733,1046)  (733,1067)  (733,1088)  (733,1109)  (711,1128)  (689,1128)  (667,1128)  (601,1128)  (579,1128)  (560,961)  (644,961)  (666,961)  (688,961)  (734,1005)  (734,1025)  (582,960)  (604,960)  (735,1130)  (710,942)  (732,942)  (754,942)  (754,963)  (754,984)  (645,1148)  (623,1148)  (755,1046)  (755,1067)  (755,1088)  (755,1109)  (713,1149)  (691,1149)  (669,1149)  (601,1149)  (579,1149)  (560,940)  (626,940)  (648,940)  (670,940)  (756,1005)  (756,1025)  (582,939)  (604,939)  (757,1130)  (757,1151)  (735,1151)  (692,921)  (714,921)  (736,921)  (758,921)  (647,1169)  (625,1169)  (713,1170)  (691,1170)  (669,1170)  (603,1170)  (581,1170)  (560,919)  (626,919)  (648,919)  (670,919)  (582,918)  (604,918)  (758,1171)  (736,1171)  | overflowToLeft=false
SZ 30  (480,1113)  (458,1132)  (458,1112)  (501,1133)  (480,1092)  (502,1092)  (502,1113)  (456,1091)  (479,1153)  (457,1153)  (436,1132)  (436,1112)  (523,1133)  (523,1154)  (501,1154)  (435,1154)  (478,1071)  (500,1071)  (522,1071)  (524,1092)  (524,1113)  (434,1091)  (440,1070)  (479,1174)  (457,1174)  (414,1133)  (414,1113)  (536,1175)  (514,1175)  (435,1175)  (413,1175)  (413,1154)  (462,1050)  (484,1050)  (506,1050)  (528,1050)  (440,1049)  (392,1133)  (392,1113)  (391,1175)  (391,1154)  (462,1029)  (484,1029)  (506,1029)  (528,1029)  (484,1008)  (506,1008)  (528,1008)  (500,987)  (522,987)  (498,966)  (520,966)  (495,946)  (517,946)  (500,925)  (522,925)  | overflowToLeft=false
Bavaria  (2088,900)  (2066,920)  (2066,899)  (2109,921)  (2110,882)  (2064,878)  (2081,941)  (2131,903)  (2131,924)  (2132,881)  (2153,925)  | overflowToLeft=false
Latin America  (177,1635)  (155,1655)  (155,1634)  (198,1656)  (199,1620)  (153,1613)  (176,1676)  (133,1666)  (133,1645)  (220,1640)  (220,1661)  (198,1677)  (221,1620)  (131,1624)  (131,1603)  (153,1592)  (226,1682)  (121,1582)  (111,1666)  (111,1645)  (242,1640)  (242,1661)  (243,1617)  (109,1624)  (109,1603)  (143,1572)  (165,1572)  (248,1682)  (248,1703)  (99,1582)  (99,1562)  (121,1562)  (264,1638)  (264,1659)  (265,1617)  (87,1642)  (87,1621)  (143,1551)  (165,1551)  (270,1679)  (270,1700)  (270,1721)  (248,1724)  (77,1601)  (77,1580)  (77,1559)  (99,1541)  (121,1541)  (74,1538)  (286,1638)  (286,1659)  (143,1530)  (165,1530)  (288,1742)  (292,1679)  (292,1700)  (292,1721)  (266,1745)  (113,1520)  (187,1516)  (135,1509)  (157,1509)  (274,1766)  (252,1766)  (179,1495)  (135,1488)  (157,1488)  (270,1786)  (248,1786)  (179,1474)  (139,1467)  (161,1454)  (183,1454)  (205,1435)  | overflowToLeft=false
Pskov  (2652,507)  (2630,527)  (2630,507)  (2674,528)  (2652,487)  (2674,487)  (2674,507)  (2629,486)  (2652,548)  (2696,528)  (2696,549)  (2674,549)  (2651,466)  (2696,488)  (2617,465)  (2652,569)  | overflowToLeft=false
SE Yugoslavia  (2356,1286)  (2334,1281)  (2377,1307)  (2355,1307)  (2378,1273)  (2322,1260)  (2374,1327)  (2307,1240)  (2300,1271)  (2278,1289)  (2307,1194)  (2285,1179)  (2307,1173)  (2257,1165)  (2329,1164)  (2279,1158)  (2301,1152)  (2300,1132)  | overflowToLeft=false
Czechoslovakia  (2215,883)  (2193,903)  (2193,882)  (2236,904)  (2215,862)  (2237,869)  (2191,861)  (2197,924)  (2258,889)  (2258,910)  (2169,869)  (2264,931)  (2280,895)  (2286,916)  | overflowToLeft=false
SZ 29  (676,819)  (654,839)  (654,818)  (697,839)  (676,798)  (698,798)  (698,819)  (652,797)  (675,859)  (653,859)  (632,839)  (632,818)  (719,839)  (719,860)  (697,860)  (631,860)  (674,777)  (696,777)  (718,777)  (720,798)  (720,819)  (630,797)  (630,776)  (652,776)  (740,758)  (675,880)  (653,880)  (610,839)  (610,819)  (741,839)  (741,860)  (741,881)  (719,881)  (697,881)  (631,881)  (609,881)  (609,860)  (674,756)  (696,756)  (718,756)  (742,779)  (742,800)  (608,760)  (630,755)  (652,755)  (740,737)  (588,839)  (588,810)  (587,884)  (587,863)  (674,735)  (615,734)  (637,734)  (740,716)  (565,884)  (565,863)  (659,714)  (543,884)  (521,884)  | overflowToLeft=false
SZ 24  (1515,603)  (1493,623)  (1493,602)  (1536,624)  (1515,582)  (1537,582)  (1537,603)  (1491,581)  (1514,644)  (1492,644)  (1471,623)  (1471,602)  (1558,624)  (1558,644)  (1536,644)  (1470,644)  (1559,573)  (1559,594)  (1469,581)  (1469,560)  (1449,624)  (1449,603)  (1580,615)  (1580,635)  (1581,571)  (1581,592)  (1449,539)  (1471,539)  (1602,613)  (1602,634)  (1603,573)  (1449,518)  (1471,518)  (1493,506)  (1624,594)  (1624,615)  (1625,571)  (1449,497)  (1471,497)  (1515,497)  (1493,485)  (1642,546)  (1646,615)  (1647,566)  (1449,477)  (1471,477)  (1515,476)  (1653,517)  (1664,496)  (1664,538)  (1675,517)  (1686,483)  (1697,504)  (1697,525)  (1708,480)  (1719,501)  (1719,522)  | overflowToLeft=false
SZ 23  (1220,690)  (1198,710)  (1198,689)  (1241,711)  (1220,669)  (1242,669)  (1242,690)  (1196,668)  (1219,731)  (1197,731)  (1176,710)  (1176,689)  (1263,711)  (1263,732)  (1241,732)  (1175,732)  (1218,648)  (1240,648)  (1262,648)  (1264,669)  (1264,690)  (1174,668)  (1174,647)  (1196,647)  (1284,629)  (1219,751)  (1197,751)  (1154,711)  (1154,690)  (1285,711)  (1285,732)  (1285,752)  (1263,752)  (1241,752)  (1175,752)  (1153,752)  (1153,732)  (1218,627)  (1240,627)  (1262,627)  (1286,650)  (1286,671)  (1152,669)  (1152,648)  (1152,627)  (1174,626)  (1196,626)  (1284,608)  (1306,608)  (1306,629)  (1219,772)  (1197,772)  (1132,711)  (1132,690)  (1307,692)  (1307,712)  (1307,733)  (1307,754)  (1285,773)  (1263,773)  (1241,773)  (1175,773)  (1153,773)  (1131,773)  (1131,752)  (1131,732)  (1131,606)  (1218,606)  (1240,606)  (1262,606)  (1308,650)  (1308,671)  (1130,669)  (1130,648)  (1130,627)  (1153,605)  (1175,605)  (1309,775)  (1284,587)  (1306,587)  (1328,587)  (1328,608)  (1328,629)  (1219,793)  (1197,793)  (1110,711)  (1110,690)  (1329,692)  (1329,712)  (1329,733)  (1329,754)  (1287,794)  (1265,794)  (1243,794)  (1175,794)  (1153,794)  (1131,794)  (1109,794)  (1109,773)  (1109,752)  (1109,732)  (1109,606)  (1330,650)  (1330,671)  (1108,669)  (1108,648)  (1108,627)  (1331,775)  (1331,796)  (1309,796)  (1350,587)  (1350,608)  (1350,629)  (1221,814)  (1199,814)  (1088,711)  (1088,690)  (1351,692)  (1351,712)  (1351,733)  (1351,754)  (1287,815)  (1265,815)  (1243,815)  (1177,815)  (1155,815)  (1133,815)  (1111,815)  (1089,815)  (1087,794)  (1087,773)  (1087,752)  (1087,732)  (1087,606)  (1352,650)  (1352,671)  (1086,669)  (1086,648)  (1086,627)  (1353,775)  (1353,796)  (1353,817)  (1331,817)  (1309,817)  (1067,832)  (1372,587)  (1372,608)  (1372,629)  (1066,711)  (1066,690)  (1373,692)  (1373,712)  (1373,733)  (1373,754)  (1065,811)  (1065,790)  (1065,770)  (1065,749)  (1065,606)  (1374,650)  (1374,671)  (1064,669)  (1064,648)  (1064,627)  (1375,775)  (1375,796)  (1375,817)  (1045,832)  (1394,587)  (1394,608)  (1394,629)  (1044,728)  (1044,707)  (1395,692)  (1395,712)  (1395,733)  (1395,754)  (1043,811)  (1043,790)  (1043,770)  (1043,749)  (1043,606)  (1396,650)  (1396,671)  (1042,686)  (1042,665)  (1042,644)  (1397,775)  (1397,796)  (1397,817)  (1416,587)  (1416,608)  (1416,629)  (1417,692)  (1417,712)  (1417,733)  (1417,754)  (1418,650)  (1418,671)  (1419,775)  (1419,796)  (1419,817)  | overflowToLeft=false
SZ 22  (897,700)  (875,720)  (875,699)  (918,721)  (897,679)  (919,679)  (919,700)  (873,678)  (896,741)  (874,741)  (853,720)  (853,699)  (940,721)  (940,742)  (918,742)  (852,742)  (895,658)  (917,658)  (939,658)  (941,679)  (941,700)  (851,678)  (851,657)  (873,657)  (961,639)  (896,761)  (874,761)  (831,721)  (831,700)  (962,721)  (962,742)  (962,762)  (940,762)  (918,762)  (852,762)  (830,762)  (830,742)  (922,637)  (963,660)  (963,681)  (829,679)  (829,658)  (841,636)  (863,636)  (885,636)  (944,618)  (966,618)  (983,639)  (896,782)  (874,782)  (809,721)  (809,700)  (984,702)  (984,722)  (984,743)  (984,764)  (962,783)  (940,783)  (918,783)  (852,783)  (830,783)  (808,783)  (808,762)  (808,742)  (985,660)  (985,681)  (807,679)  (986,785)  (988,614)  (946,597)  (896,803)  (874,803)  (787,721)  (787,700)  (964,804)  (942,804)  (920,804)  (852,804)  (830,804)  (808,804)  (786,804)  (786,783)  (786,762)  (786,742)  (1004,806)  (968,593)  (990,593)  (898,824)  (876,824)  (982,825)  (960,825)  (938,825)  (854,825)  (832,825)  (810,825)  (788,825)  (1004,827)  | overflowToLeft=false
Warsaw  (2420,814)  (2398,834)  (2398,813)  (2441,835)  (2420,793)  (2442,796)  (2419,855)  | overflowToLeft=false
SZ 21  (743,572)  (721,592)  (721,571)  (764,593)  (743,551)  (765,551)  (765,572)  (719,550)  (742,613)  (786,593)  (786,614)  (764,614)  (787,541)  (787,562)  (697,551)  (807,517)  (808,618)  (786,634)  (809,538)  (675,549)  (653,549)  | overflowToLeft=false
SZ 28  (939,932)  (917,952)  (917,931)  (960,953)  (939,911)  (961,911)  (961,932)  (916,910)  (938,973)  (916,973)  (895,952)  (895,931)  (982,953)  (982,974)  (960,974)  (894,974)  (938,890)  (960,890)  (982,890)  (983,911)  (983,932)  (894,910)  (894,889)  (916,889)  (1004,871)  (938,994)  (916,994)  (873,953)  (873,932)  (1004,953)  (1004,974)  (1004,995)  (982,995)  (960,995)  (894,995)  (872,995)  (872,974)  (938,869)  (960,869)  (982,869)  (1005,892)  (1005,913)  (872,911)  (872,890)  (872,869)  (894,869)  (916,869)  (1026,855)  (938,1015)  (916,1015)  (851,953)  (851,932)  (1026,934)  (1026,955)  (1026,976)  (1026,996)  (1004,1015)  (982,1015)  (960,1015)  (894,1015)  (872,1015)  (850,1015)  (850,995)  (850,974)  (1027,876)  (1027,897)  (850,911)  (850,890)  (850,869)  (1028,1017)  (1048,855)  (938,1035)  (916,1035)  (829,953)  (829,932)  (1048,917)  (1048,938)  (1048,959)  (1048,980)  (1006,1036)  (984,1036)  (962,1036)  (894,1036)  (872,1036)  (850,1036)  (828,1036)  (828,1015)  (828,995)  (828,974)  (1049,876)  (1049,897)  (828,911)  (828,890)  (828,869)  (1050,1001)  (1050,1022)  (1028,1038)  (1055,1043)  (1069,855)  (807,953)  (807,932)  (1070,917)  (1070,938)  (1070,959)  (1070,980)  (806,1053)  (806,1032)  (806,1011)  (806,990)  (1071,876)  (1071,897)  (806,911)  (806,890)  (806,869)  (1072,1001)  (1072,1022)  (1077,1043)  (1091,855)  (785,969)  (785,948)  (1092,917)  (1092,938)  (1092,959)  (1092,980)  (784,1053)  (784,1032)  (784,1011)  (784,990)  (1093,876)  (1093,897)  (784,927)  (784,907)  (784,886)  (784,865)  (1094,1001)  (1094,1022)  (1099,1043)  (1113,855)  (1114,917)  (1114,938)  (1114,959)  (1114,980)  (1115,876)  (1115,897)  (1116,1001)  (1116,1022)  (1121,1043)  (1135,855)  (1136,917)  (1136,938)  (1136,959)  (1136,980)  (1137,876)  (1137,897)  (1138,1001)  (1138,1022)  | overflowToLeft=false
SZ 27  (1231,930)  (1209,950)  (1209,929)  (1252,951)  (1231,909)  (1253,909)  (1253,930)  (1207,908)  (1230,971)  (1208,971)  (1187,950)  (1187,929)  (1274,951)  (1274,972)  (1252,972)  (1186,972)  (1229,888)  (1251,888)  (1273,888)  (1275,909)  (1275,930)  (1185,908)  (1185,888)  (1207,888)  (1295,869)  (1230,992)  (1208,992)  (1165,951)  (1165,930)  (1296,951)  (1296,972)  (1296,993)  (1274,993)  (1252,993)  (1186,993)  (1164,993)  (1164,972)  (1229,868)  (1251,868)  (1273,868)  (1297,890)  (1297,911)  (1163,909)  (1163,888)  (1163,868)  (1185,867)  (1207,867)  (1317,855)  (1230,1013)  (1208,1013)  (1318,932)  (1318,953)  (1318,974)  (1318,995)  (1296,1014)  (1274,1014)  (1252,1014)  (1186,1014)  (1164,1014)  (1319,876)  (1319,897)  (1320,1015)  (1339,855)  (1230,1034)  (1208,1034)  (1340,917)  (1340,938)  (1340,959)  (1340,980)  (1298,1035)  (1276,1035)  (1254,1035)  (1186,1035)  (1164,1035)  (1341,876)  (1341,897)  (1342,1001)  (1342,1022)  (1320,1036)  (1349,1043)  (1361,855)  (1232,1054)  (1210,1054)  (1362,917)  (1362,938)  (1362,959)  (1362,980)  (1298,1055)  (1276,1055)  (1254,1055)  (1188,1055)  (1166,1055)  (1363,876)  (1363,897)  (1364,1001)  (1364,1022)  (1327,1057)  (1351,1064)  (1383,855)  (1232,1075)  (1210,1075)  (1384,917)  (1384,938)  (1384,959)  (1384,980)  (1305,1076)  (1283,1076)  (1261,1076)  (1188,1076)  (1166,1076)  (1385,876)  (1385,897)  (1386,1001)  (1329,1078)  (1405,855)  (1239,1096)  (1217,1096)  (1406,917)  (1406,938)  (1406,959)  (1406,980)  (1307,1097)  (1285,1097)  (1263,1097)  (1195,1097)  (1173,1097)  (1407,876)  (1407,897)  (1408,1001)  (1342,1099)  (1241,1117)  (1219,1117)  (1320,1118)  (1298,1118)  (1276,1118)  (1197,1118)  (1175,1118)  | overflowToLeft=false
NW US  (101,691)  (79,711)  (79,690)  (122,712)  (101,670)  (123,670)  (123,691)  (77,669)  (100,732)  (78,732)  (144,712)  (144,732)  (122,732)  (145,654)  (145,674)  (60,648)  (82,648)  (100,752)  (78,752)  (166,695)  (166,716)  (166,737)  (144,753)  (122,753)  (167,641)  (167,662)  (60,627)  (82,627)  (170,758)  (189,659)  (60,606)  (211,661)  (233,654)  | overflowToLeft=false
Lisbon  (1291,1255)  (1269,1275)  (1269,1254)  (1312,1276)  (1291,1234)  (1313,1234)  (1313,1255)  | overflowToLeft=false
SZ 26  (1525,1007)  (1503,1027)  (1503,1006)  (1546,1028)  (1525,986)  (1547,986)  (1547,1007)  (1501,986)  (1524,1048)  (1502,1048)  (1481,1027)  (1481,1006)  (1568,1028)  (1568,1049)  (1546,1049)  (1480,1049)  (1569,979)  (1569,1000)  (1479,986)  (1524,1069)  (1459,1028)  (1459,1007)  (1590,1021)  (1590,1042)  (1590,1063)  (1568,1070)  (1546,1070)  (1591,979)  (1591,1000)  (1457,986)  (1604,1083)  (1612,1021)  (1612,1042)  (1612,1063)  (1582,1091)  (1613,979)  (1613,1000)  (1609,1104)  (1634,1021)  (1634,1042)  (1635,979)  (1635,1000)  | overflowToLeft=false
